glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
㗯,,,,,,,,
㗰,從,,cóng,cung4 saai3,,,,
㗱,集,集,jí,zap6,,,,
㗲,畫,畫,huò,waak1 waak6 wok6,,,,
㗳,答,合,tǎ,dap1 tap3,,,,
㗴,間,間,yán,zin4,,,,nhằn
㗵,,,xù,fat1,,,,
㗶,發,癹,pō,put3,,,,
㗷,,,sǎi,coi3,,,,
㗸,,,,,,,,
㗹,,,,,,,,
㗺,䨿,,,,,,,
㗻,過,冎,guō,go6 gwo1 gwo3,,,,
㗼,業,業,yè,zip6,,,,
㗽,鄉,亡,xiǎng,hoeng1 hoeng2,,,,
㗾,靴,化,xuē,heoi1,,,,
㗿,閜,,hé,laa4,,,하,
㘀,䊆,,zuò,zok3,,,,
㘁,睪,幸,yì,zik6,,,,
㘂,慈,,cí,ci4,,,,
㘃,惹,若,,,,,,
㘄,楞,楞,lēng,,,,,
㘅,銜,金,xián,haam4,,,,
㘆,臺,臺,tǎi,toi4,,,,
㘇,榮,,róng,wing4 zing2,,,,vang
㘈,疑,矢,yì,zi4,,,,
㘉,節,卩,zhì,zit1 zit3,,,,
㘊,,,xī,caau3 kaap1 zaau2 zuk1,,,,
㘋,賢,臣,xián,zin4,,,,hờn
㘌,劇,豦,jù,kek6,,,,
㘍,,,jí,zik1,,,,
㘎,阚,敢,hǎn,ham3,,,,
㘏,,,,,,,,
㘐,駮,交,pào,cit3 pau3,,,,
㘑,隷,隶,lì,lai6,,,,
㘒,種,東,,,,,,
㘓,闌,柬,lán,laan4,,,,ran
㘔,賽,,sǎi,coi3,,,,
㘕,藍,監,hǎn,ham3 lam4,,,,
㘖,顔,厂,yán,ngan4,,,,
㘗,瞿,䀠,qū,,,,,
㘘,䜌,䜌,,lyun2,,,,
㘙,嚴,敢,yán,gau1 gau2 hau6 ngam4,,,,
㘚,闞,敢,hǎn,gam1 ham3,,,,
㘛,,,kān,haam1 lim5,,,,
㘜,讎,雔,chǐ,caau1 caau4,,,,
㘝,0,㘝,niè,nim2 nip6 zik1,,,,
㘞,,,huò,deot1,,,,
㘟,,,,,,,,
㘠,,,bì,baai3 dai1,,,,
㘡,,,xiá,haap6,,,,
㘢,,,wěng,,,,,
㘣,肙,囗,xuán,zyun4,,,,
㘤,淵,,wān,waan1,,,,
㘥,繇,肉,yóu,zaau4,,,,
㘦,,,qín,kan4,,,,
㘧,予,予,xù,zeoi6,,,,
㘨,内,内,niè,nip6,,,,nồi
㘩,,,bì,bei6,,,,
㘪,,,hào,hou3 kaau3,,,,
㘫,,,jǐng,zing6,,,,
㘬,勾,勾,ào,au1,,,,
㘭,幻,㕕,ào,au1 au3,,,,
㘮,,,,,,,,
㘯,,,,,,,,
㘰,,,zhēn,zam1,,,,
㘱,冉,冉,tān,taan1,,,,
㘲,尻,九,jú,guk1,,,,
㘳,,,,zaau1,,,,
㘴,,,zuò,zo6,,,,
㘵,布,父,bù,bou3,,,,
㘶,,,jié,git6 miu5,,,,
㘷,艾,乂,ài,ngai6,,,,
㘸,,,zàng,zong3,,,,
㘹,,,cí,ci4,,,,
㘺,伐,伐,fá,fat6,,,,
㘻,因,囗,,zaan1,,,,
㘼,,,,,,,,
㘽,,,,,,,,
㘾,宇,于,,jyu5,,,,
㘿,圼,圼,niè,nip6,,,,
㙀,究,九,liù,lau6,,,,
㙁,,,méi,muk6,,,,
㙂,兑,㕣,duì,deoi3,,,,
㙃,兵,兵,bāng,bong1,,,,
㙄,坒,匕,bì,bai6,,,,
㙅,呆,呆,bǎo,bou2,,,,
㙆,,,,,,,,
㙇,豖,豖,chù,cuk1,,,,
㙈,,,xià,laa4,,,,
㙉,典,典,tiǎn,din6 tin2,,,,
㙊,長,長,cháng,coeng4,,,,
㙋,,,,,,,,
㙌,肃,肃,,,,,,
㙍,叕,叕,duō,do1,,,,
㙎,威,戌,wēi,wai1,,,,
㙏,复,复,fù,fuk1,,,,
㙐,耑,而,duǒ,deoi2 do2,,,,
㙑,禹,禹,yǔ,zyu5,,,,
㙒,,,yě,ze5 zi2,,,,
㙓,垚,垚,kuí,,,,,
㙔,,,wěi,hon4,,,,
㙕,胃,胃,kuài,faai3,,,,
㙖,,,,,,,,
㙗,畏,畏,wēi,fai3,,,,
㙘,要,要,yāo,ziu1,,,,
㙙,浝,尨,lǒng,lung5,,,,
㙚,,,xīng,sing1,,,,
㙛,尃,父,bǔ,bou2,,,,
㙜,,,chí,ci4 toi4,,,,
㙝,脅,劦,xié,hip3,,,,
㙞,臬,臬,niè,nip6 saan1 zit6,,,,
㙟,朗,亡,lǎng,long5,,,,
㙠,殹,矢,yī,aai3,,,,
㙡,從,,zōng,zung1,,,,
㙢,㒼,㒼,mán,man6 mang6,,,,
㙣,張,長,zhàng,zoeng3,,,,
㙤,虖,乎,xià,laa3,,,,hố
㙥,袞,㕣,gùn,gwaan2 waan6 wat6,,,,
㙦,斜,余,xié,,,,,
㙧,畱,丣,,,,,,
㙨,幾,,jì,gei1,,,,
㙩,尞,尞,liáo,laau6 liu4 liu4,,,,
㙪,壹,壹,yì,zi3,,,,
㙫,集,集,jí,zap6,,,,
㙬,猌,犬,yín,ngaan4,,,,
㙭,,,,,,,,
㙮,答,合,dā,taap3,,,,đắp
㙯,埶,埶,yì,ngaai6,,,예,
㙰,解,解,xiè,hai6,,,,
㙱,號,号,hào,hou6,,,,
㙲,雍,雍,yǒng,zung1,,,,
㙳,感,咸,kǎn,ham2,,,,
㙴,詹,詹,chàn,cim1,,,,thềm
㙵,㙜,,tái,toi4,,,,
㙶,堂,向,táng,tong4,,,,
㙷,㬎,㬎,zhí,zik6,,,,
㙸,僕,菐,bào,buk6,,,,
㙹,夢,𦭝,méng,mung4,,,,
㙺,匱,臾,kuí,gwaai6,,,,
㙻,廛,廛,chán,cin4,,,,
㙼,畾,畾,lěi,leoi5,,,,
㙽,奭,,,,,,,
㙾,學,學,xì,hok6,,,,
㙿,,,,,,,,
㚀,戲,虍,xī,hei1,,,,
㚁,,,qiào,kiu4,,,,
㚂,囊,囊,nàng,zoeng4,,,,
㚃,,,yūn,wan1,,,,
㚄,,,,,,,,
㚅,,,lóng,lung4,,,,
㚆,,,fù,fuk6 fuk6,,,,
㚇,兇,凶,zōng,zuk1 zung1,,,,
