glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
𦽄,殿,,diàn,,,,,
𦽅,閜,,hè,,,,,
𦽆,,,,,,,,
𦽇,腱,建,jiān,,,,,
𦽈,猷,酋,,,,,,
𦽉,,,,,,,,
𦽊,嗣,司,huá,waa4,,,,
𦽋,鉤,口,gōu,,,,,
𦽌,,,,,,,,
𦽍,,,,,,,,
𦽎,祿,彖,lù,,,,,
𦽏,鳧,几,fú,,,,,
𦽐,毀,,huǐ,,,,,
𦽑,,,,,,,,
𦽒,賊,十,zéi,,,,,
𦽓,煢,卂,,,,,,
𦽔,禁,林,jìn,,,,,om
𦽕,,,sī,,,,,
𦽖,,,qūn,,,,,
𦽗,,,,,,,,
𦽘,,,,,,,,
𦽙,,,,,,,,
𦽚,,,,,,,,
𦽛,,,,,,,,
𦽜,,,dàn,,,,,
𦽝,,,,,,,,
𦽞,,,wàn,,,,,
𦽟,遍,扁,biǎn,,,,,
𦽠,,,,,,,,
𦽡,,,,,,,,
𦽢,,,,,,,,
𦽣,,,,,,,,
𦽤,,,jiá,,,,,
𦽥,,,,,,,,
𦽦,,,,,,,,
𦽧,,,,,,,,
𦽨,,,,,,,,
𦽩,楺,矛,,,,,,
𦽪,,,,,,,,
𦽫,感,咸,dǎn,,,,,
𦽬,,,jiū,,,,,
𦽭,茤,,xián,,,,,
𦽮,,,bó,,,,,
𦽯,極,亟,,,,,,
𦽰,爭,爭,,,,,,tranh
𦽱,,,,,,,,
𦽲,裘,求,,,,,,
𦽳,愚,禺,,jyu4,,,,
𦽴,靖,生,,zing6,,,,
𦽵,,,,,,,,
𦽶,椰,耶,,,,,,
𦽷,,,,,,,,
𦽸,葭,叚,,,,,,
𦽹,,,,,,,,
𦽺,,,,,,,,
𦽻,葆,呆,,,,,,
𦽼,溧,栗,,,,,,
𦽽,,,,,,,,
𦽾,溜,丣,,,,,,
𦽿,賈,襾,,,,,,
𦾀,,,,,,,,
𦾁,,,,,,,,
𦾂,珍,㐱,,,,,,
𦾃,搕,去,,,,,,
𦾄,,,,,,,,
𦾅,,,,,,,,
𦾆,,,,,,,,
𦾇,妹,未,,,,,,
𦾈,,,,,,,,
𦾉,,,,,,,,
𦾊,,,,,,,,
𦾋,,,,,,,,
𦾌,蜂,丰,,,,,,
𦾍,,,,,,,,
𦾎,,,,,,,,
𦾏,,,xiá,,,,,
𦾐,臥,臥,,,,,,
𦾑,剽,票,biāo,,,,,
𦾒,,,,,,,,
𦾓,,,,,,,,
𦾔,萑,,,,,,,
𦾕,,,pò,,,,,
𦾖,,,,,,,,
𦾗,,,,,,,,
𦾘,,,sǎo,,,,,
𦾙,,,bèi,,,,,
𦾚,虞,呉,shà,,,,,
𦾛,暐,,wěi,,,,,
𦾜,貇,,,,,,,
𦾝,蒼,倉,cāng,,,,,
𦾞,,,lù,,,,,
𦾟,盞,戔,,zaan2,,,,
𦾠,佘,,,,,,,dưa
𦾡,,,,mei5,,,,
𦾢,椹,甚,,,,,,rậm
𦾣,,,,,,,,chồi
𦾤,愈,兪,,,,,,dó
𦾥,暈,軍,,,,,,vừng
𦾦,,,,,,,,
𦾧,暑,者,,,,,,
𦾨,,,,,,,,
𦾩,,,dàn,,,,,
𦾪,,,,,,,,
𦾫,穀,,gǔ,,,,,
𦾬,摺,習,zā,,,,,
𦾭,,,bǎng,,,,,
𦾮,榦,,gàn,,,,,
𦾯,綠,彖,,,,,,
𦾰,,,,,,,,
𦾱,,,chāo,,,,,
𦾲,兾,,jì,,,,,
𦾳,㼲,而,liē,,,,,
𦾴,緐,,,,,,,
𦾵,榮,,qióng,,,,,
𦾶,漸,斬,jiàn,,,,,
𦾷,漻,翏,lù,,,,,
𦾸,端,而,duān,,,,,
𦾹,酸,㠯,suān,,,,,
𦾺,,,yáo,,,,,
𦾻,㥯,,yǐn,,,,,
𦾼,遘,冓,,,,,,
𦾽,遝,眔,tà,,,,,
𦾾,遙,肉,yáo,jiu4,,,,
𦾿,精,生,jīng,,,,,
𦿀,,,chú,,,,,
𦿁,,,fú,,,,,
𦿂,鳶,屰,yuán,,,,,
𦿃,,,shǎo,,,,,
𦿄,暢,易,,,,,,
𦿅,凴,冫,bìng,,,,,
𦿆,碭,昜,dàng,,,,,
𦿇,,,shì,,,,,
𦿈,,,,,,,,
𦿉,,,,,,,,
𦿊,,,lú,,,,,
𦿋,,,qiè,,,,,
𦿌,㬎,㬎,luó,,,,,
𦿍,僕,菐,pò,,,,,
𦿎,,,,,,,,
𦿏,夢,𦭝,méng,,,,,
𦿐,,,jié,,,,,
𦿑,,,,,,,,
𦿒,榛,,,,,,,
𦿓,毄,軎,jī,,,,,
𦿔,弊,㡀,,,,,,
𦿕,,,,,,,,
𦿖,,,lù,,,,,
𦿗,,,,,,,,
𦿘,,,,,,,,
𦿙,,,,,,,,
𦿚,遝,眔,,,,,,
𦿛,,,,,,,,
𦿜,,,,,,,,
𦿝,,,,,,,,
𦿞,,,,cung1,,,,
𦿟,,,,ji2,,,,
𦿠,,,,,,,,
𦿡,暌,癸,,,,,,
𦿢,,,,,,,,
𦿣,蒿,高,,,,,,
𦿤,蓄,畜,,,,,,
𦿥,,,,,,,,
𦿦,,,,,,,,
𦿧,,,,,,,,
𦿨,,,,,,,,
𦿩,,,,,,,,
𦿪,蓬,丰,,,,,,
𦿫,,,,,,,,
𦿬,,,,,,,,
𦿭,,,,,,,,
𦿮,,,,,,,,
𦿯,,,,,,,,
𦿰,,,,,,,,
𦿱,,,,,,,,
𦿲,,,,,,,,
𦿳,,,,,,,,
𦿴,,,,,,,,
𦿵,,,,,,,,
𦿶,,,,,,,,
𦿷,,,,,,,,
𦿸,,,,,,,,
𦿹,夻,,,,,,,
𦿺,,,,,,,,
𦿻,,,,,,,,
𦿼,,,,,,,,
𦿽,,,,,,,,
𦿾,,,,,,,,
𦿿,緌,委,,,,,,
𧀀,獄,獄,,,,,,
𧀁,,,,,,,,
𧀂,祘,祘,,,,,,
𧀃,,,,,,,,
𧀄,畼,昜,chàng,,,,,
𧀅,,,miè,,,,,
𧀆,,,méng,,,,,
𧀇,細,田,jiǎn,,,,,
𧀈,,,,,,,,
𧀉,㕘,,,,,,,
𧀊,,,cǎi,,,,,
𧀋,麽,麻,,,,,,
𧀌,漱,束,sù,,,,,
𧀍,,,,,,,,
𧀎,膏,高,,gou1,,,,
𧀏,銃,,,,,,,súng
𧀐,瑰,鬼,,,,,,gồi
𧀑,種,東,,,,,,giống
𧀒,嫩,束,,,,,,non
𧀓,屢,,,,,,,rú
𧀔,,,hè,,,,,
𧀕,,,sà,,,,,
𧀖,,,,,,,,
𧀗,,,zī,,,,,
𧀘,,,kēng,,,,,
𧀙,,,gěng,,,,,
𧀚,,,sī,,,,,
𧀛,熊,能,,,,,,
𧀜,,,,,,,,sam
𧀝,,,,,,,,
𧀞,吏,史,,,,,,trái
𧀟,盈,夃,,,,,,đầy
𧀠,,,tí,,,,,
𧀡,潐,焦,zhàn,,,,,
𧀢,蹀,卅,xiè,,,,,
𧀣,誰,隹,shuí,,,,,
𧀤,,,chǐ,,,,,
𧀥,憂,,yōu,,,,,
𧀦,魯,魚,lǔ,,,,,
𧀧,,,mèng,,,,,
𧀨,巤,巤,liè,,,,,lốp
𧀩,賜,易,sì,,,,,
𧀪,潦,尞,,,,,,
𧀫,,,,,,,,
𧀬,膝,桼,xī,,,,,
𧀭,樊,棥,fán,,,,,
𧀮,敷,父,fū,,,,,
𧀯,審,釆,shěn,,,,,
𧀰,蹄,帝,tí,,,,,
𧀱,,,chài,,,,,
𧀲,閱,㕣,yuè,,,,,
𧀳,,,,,,,,
𧀴,膚,胃,fū,,,,,
𧀵,,,jiàn,,,,,
𧀶,,,dì,,,,,
𧀷,,,,,,,,
𧀸,㒒,業,,,,,,
𧀹,遮,庶,,,,,,
𧀺,頡,吉,xié,,,,,
𧀻,儋,詹,dān,,,,,
𧀼,,,,,,,,
𧀽,,,,,,,,
𧀾,,,,,,,,
𧀿,鄭,奠,zhí,,,,,
𧁀,,,,,,,,
𧁁,,,,,,,,
𧁂,隧,豕,,,,,,
𧁃,,,xù,,,,,
𧁄,,,,,,,,
𧁅,,,,,,,,
𧁆,汖,,,,,,,
𧁇,,,,,,,,
𧁈,,,niè,,,,,
𧁉,旉,父,fàn,,,,,
𧁊,眼,艮,méng,,,,,
𧁋,,,mǐn,man5,,,,
𧁌,,,,,,,,
𧁍,,,,,,,,
𧁎,䒤,乙,,,,,,
𧁏,,,,,,,,
𧁐,實,實,,,,,,
𧁑,,,,,,,,
𧁒,樣,羊,,joeng6,,,,
𧁓,,,,lung4 nung4,,,,
𧁔,,,,,,,,
𧁕,蓱,并,,,,,,
𧁖,,,,,,,,
𧁗,蔥,囱,,,,,,
𧁘,,,,,,,,
𧁙,,,,,,,,
𧁚,惢,,,,,,,
𧁛,,,,,,,,
𧁜,,,,,,,,
𧁝,,,,,,,,
𧁞,祘,祘,,,,,,
𧁟,鞍,安,,,,,,
𧁠,,,,,,,,
𧁡,,,,,,,,
𧁢,,,,,,,,
𧁣,,,,,,,,
𧁤,,,,,,,,
𧁥,,,,,,,,
𧁦,罵,馬,,,,,,
𧁧,,,,,,,,
𧁨,,,,,,,,
𧁩,,,,,,,,
𧁪,,,,,,,,
𧁫,,,,,,,,
𧁬,衝,東,,,,,,
𧁭,,,,,,,,
𧁮,衛,囗,,,,,,
𧁯,,,,,,,,
𧁰,,,,,,,,
𧁱,敵,帝,,,,,,
𧁲,,,,,,,,
𧁳,莆,父,,,,,,
𧁴,,,,,,,,ghém
𧁵,撫,,,,,,,vỏ
𧁶,,,,,,,,giền
𧁷,苦,古,,,,,,khó
𧁸,彙,彑,,,,,,vừng
𧁹,苦,古,,,,,,khó
𧁺,緘,咸,,,,,,rườm
𧁻,,,,,,,,
𧁼,隨,,,,,,,
𧁽,遴,,,,,,,
𧁾,,,lóu,,,,,
𧁿,獨,蜀,dú,,,,,
𧂀,䫉,,,,,,,
𧂁,戰,吅,zhàn,,,,,chện
𧂂,錢,戔,jiàn,,,,,
𧂃,,,hàn,,,,,
𧂄,閻,臽,dàn,,,,,rườm
𧂅,,,sēn,,,,,
𧂆,,,jiàn,,,,,
𧂇,尋,尋,tán,,,,,
𧂈,操,喿,jiǎo,ziu2,,,,
𧂉,皤,釆,pó,,,,,
𧂊,韰,,,,,,,
𧂋,憑,冫,píng,,,,,
𧂌,,,,,,,,
𧂍,選,巽,zhuàn,,,,,
𧂎,,,,,,,,
𧂏,遼,尞,liáo,,,,,
𧂐,積,朿,zì,,,,,
𧂑,薦,廌,,,,,,
𧂒,燋,焦,zhuó,,,,,
𧂓,芅,,,,,,,
𧂔,,,hù,,,,,
𧂕,,,,,,,,
𧂖,,,,,,,,
𧂗,,,,,,,,
𧂘,,,,,,,,
𧂙,潟,舄,xì,,,,,
𧂚,,,,,,,,
𧂛,甍,𦭝,méng,,,,,
𧂜,,,jù,,,,,
𧂝,,,miè,,,,,
𧂞,,,xián,,,,,
𧂟,,,,,,,,
𧂠,遺,臾,kuì,,,,,
𧂡,,,méng,,,,,
𧂢,,,jiān,,,,,
𧂣,穀,,,,,,,
𧂤,,,,,,,,
𧂥,,,,,,,,
𧂦,,,nóu,,,,,
𧂧,,,,,,,,
𧂨,蒂,帯,dì,,,,,
𧂩,,,sāo,,,,,
𧂪,,,,,,,,
𧂫,鮑,勹,,,,,,
𧂬,,,,,,,,
𧂭,耨,辱,,lau6 nau6,,,,
𧂮,靜,爭,,zing6,,,,
𧂯,,,,wan5,,,,
𧂰,賮,,,,,,,
𧂱,蕨,欠,,,,,,
𧂲,,,,,,,,
𧂳,蕇,,,,,,,
𧂴,雈,,,,,,,
𧂵,蕃,釆,,,,,,
𧂶,,,,,,,,
𧂷,,,,,,,,
𧂸,壁,辟,,,,,,
𧂹,險,僉,,,,,,
𧂺,,,,,,,,
𧂻,,,,,,,,
𧂼,,,,,,,,
𧂽,,,,,,,,
𧂾,,,,,,,,
𧂿,,,,,,,,
𧃀,,,,,,,,
𧃁,栆,,,,,,,
𧃂,,,,,,,,
𧃃,錦,金,,,,,,
𧃄,,,,,,,,
𧃅,蘇,魚,,,,,,
𧃆,錄,彖,,,,,,
𧃇,膳,善,,,,,,
𧃈,,,,,,,,
𧃉,,,,,,,,
𧃊,,,,,,,,
𧃋,餘,余,,,,,,dưa
𧃌,踏,沓,,,,,,rạp
𧃍,,,,kwai4,,,,
𧃎,辥,𡶫,,,,,,
𧃏,歜,蜀,chù,,,,,
𧃐,蹢,帝,zhí,,,,,
𧃑,,,qián,,,,,
𧃒,,,lǚ,leoi5,,,,
𧃓,,,,,,,,
𧃔,擢,翟,zhuó,,,,,
𧃕,,,,,,,,
𧃖,,,,,,,,
𧃗,,,,,,,,
𧃘,,,zuò,,,,,
𧃙,韓,龺,hán,,,,,
𧃚,,,suǐ,,,,,
𧃛,購,冓,gòu,,,,,
𧃜,,,,,,,,
𧃝,醜,酉,chǒu,,,,,
𧃞,冀,異,jì,,,,,
𧃟,翼,異,yì,,,,,
𧃠,,,yú,,,,,
𧃡,,,,,,,,
𧃢,,,,,,,,
𧃣,,,,,,,,
𧃤,,,,,,,,
𧃥,,,,,,,,
𧃦,,,,,,,,
𧃧,,,,,,,,
𧃨,孺,而,nóu,,,,,
𧃩,疑,矢,nǐ,,,,,
𧃪,,,ruò,,,,,
𧃫,,,,,,,,
𧃬,,,,,,,,
𧃭,,,,,,,,
𧃮,燐,舛,lín,,,,,
𧃯,薩,產,,,,,,
𧃰,,,,,,,,
𧃱,,,níng,,,,,
𧃲,糜,麻,,,,,,
𧃳,,,,,,,,
𧃴,,,,,,,,
𧃵,登,登,,,,,,đắng
𧃶,,,,,,,,muống
𧃷,虧,亐,,,,,,khoai
𧃸,徽,,,fai1,,,,
𧃹,,,,,,,,
𧃺,,,,,,,,
𧃻,薔,嗇,,,,,,
𧃼,售,售,,,,,,
𧃽,應,䧹,,,,,,ứng
𧃾,,,,,,,,
𧃿,聰,囱,,,,,,
𧄀,,,,,,,,
𧄁,霞,叚,,,,,,
𧄂,,,,,,,,
𧄃,,,,,,,,
𧄄,稚,隹,,,,,,
𧄅,懇,艮,,,,,,
𧄆,,,,,,,,
𧄇,,,,,,,,
𧄈,尞,尞,,,,,,rêu
𧄉,總,囱,,zung2,,,,
𧄊,,,,,,,,han
𧄋,,,,,,,,
𧄌,定,定,,dan2,,,,
𧄍,翹,垚,qiáo,kiu4,,,,
𧄎,䌛,,yáo,,,,,
𧄏,覆,复,fù,,,,,
𧄐,雙,雔,shuāng,,,,,
𧄑,,,kuì,,,,,
𧄒,瞿,䀠,qú,,,,,
𧄓,壴,壴,dǒng,,,,,
𧄔,儲,者,shǔ,,,,,
𧄕,織,戠,,,,,,
𧄖,,,,,,,,
𧄗,置,直,,,,,,
𧄘,,,,,,,,
𧄙,,,,,,,,
𧄚,釐,𠩺,lí,,,,,
𧄛,鞫,訇,jú,,,,,
𧄜,,,ruǐ,,,,,
𧄝,,,,,,,,
𧄞,,,,,,,,
𧄟,,,,,,,,
𧄠,,,zhá,,,,,
𧄡,,,,,,,,
𧄢,冣,,,,,,,
𧄣,,,,,,,,
𧄤,嚚,臣,xiāo,,,,,
𧄥,,,,,,,,
𧄦,馥,复,,fuk1,,,,
𧄧,,,,wan3,,,,
𧄨,,,,,,,,
𧄩,,,,,,,,
𧄪,,,,,,,,
𧄫,,,,,,,,
𧄬,,,,,,,,
𧄭,,,,,,,,
𧄮,,,,,,,,
𧄯,,,,,,,,
𧄰,雞,奚,,,,,,
𧄱,闒,,,,,,,
𧄲,,,,,,,,mo
𧄳,喬,喬,,,,,,kiệu
𧄴,萬,萬,,,,,,ngồng
𧄵,獵,巤,,,,,,rạp
𧄶,,,,,,,,
𧄷,,,,,,,,
𧄸,舋,,mén,,,,,
𧄹,識,戠,shí,,,,,
𧄺,顛,真,diān,,,,,
𧄻,瀝,秝,lì,,,,,
𧄼,登,登,dèng,,,,,
𧄽,贊,先,zàn,,,,,
𧄾,羆,能,,,,,,
𧄿,羸,亡,luó,,,,,
𧅀,,,cán,,,,,
𧅁,疆,畺,,,,,,
𧅂,繰,喿,,,,,,
𧅃,爊,麃,āo,,,,,
𧅄,夔,夒,,,,,기,
𧅅,䞈,爲,,,,,,
𧅆,繭,繭,jiǎn,,,,,
𧅇,,,,,,,,
𧅈,,,diào,,,,,
𧅉,,,,,,,,
𧅊,,,,,,,,
𧅋,吂,亡,yíng,,,,,
𧅌,,,,,,,,
𧅍,,,,,,,,
𧅎,,,,,,,,
𧅏,藜,,,,,,,
𧅐,潡,亨,,,,,,
𧅑,,,,,,,,
𧅒,,,,,,,,
𧅓,,,,,,,,
𧅔,,,,,,,,
𧅕,,,,,,,,rạp
𧅖,,,yì,,,,,
𧅗,黨,向,dǎng,,,,,
𧅘,,,nóu,,,,,
𧅙,,,,,,,,
𧅚,矍,䀠,yuè,,,,,
𧅛,䊮,翟,,,,,,
𧅜,櫬,亲,,,,,,
𧅝,,,,,,,,
𧅞,菆,,,,,,,
𧅟,,,,,,,,
𧅠,,,,,,,,
𧅡,,,,,,,,
𧅢,,,,,,,,
𧅣,蕭,肅,,,,,,
𧅤,寳,缶,,bou2,,,,
𧅥,馨,声,,hing1,,,,
𧅦,,,,,,,,
𧅧,,,,,,,,
𧅨,,,,,,,,
𧅩,,,,,,,,
𧅪,萅,屯,,,,,,
𧅫,覺,,,,,,,rác
𧅬,菓,果,,,,,,men
𧅭,蒙,冡,,,,,,muống
𧅮,蠡,彖,lǐ,,,,,
𧅯,,,lí,,,,,
𧅰,護,隻,hù,,,,,
𧅱,,,,,,,,
𧅲,,,yòu,,,,,
𧅳,,,,,,,,
𧅴,,,,,,,,
𧅵,,,,pan4,,,,
𧅶,,,,,,,,
𧅷,,,,,,,,
𧅸,,,,,,,,
𧅹,,,,,,,,
𧅺,囊,囊,nàng,,,,,
𧅻,,,,,,,,
𧅼,穰,襄,,,,,,
𧅽,,,,,,,,
𧅾,,,,,,,,
𧅿,,,,,,,,
𧆀,,,,,,,,
𧆁,,,,,,,,
𧆂,,,chèn,,,,,
𧆃,,,,,,,,
𧆄,藥,樂,,,,,,thuốc
𧆅,彎,䜌,,,,,,
𧆆,,,,,,,,
𧆇,蠲,蜀,,,,,,
𧆈,,,,,,,,
𧆉,,,fēng,,,,,
𧆊,鱉,㡀,biē,,,,,
𧆋,,,,,,,,
𧆌,齏,齊,,,,,,
𧆍,,,,,,,,
𧆎,戀,䜌,,,,,,
𧆏,矕,䜌,mǎn,,,,,
𧆐,贛,工,gàn,,,,,
𧆑,,,huò,,,,,
𧆒,,,,,,,,
𧆓,麤,,cū,,,,,
𧆔,,,,,,,,
𧆕,,,yǒu,,,,,
𧆖,,,,,,,,
𧆗,,,,,,,,
𧆘,,,yòu,,,,,
𧆙,,,,,,,,
𧆚,,,,,,,,
𧆛,,,,,,,,
𧆜,亐,亐,xū,,,,,
𧆝,,,,,,,,
𧆞,,,,,,,,
𧆟,,,,,,,,
𧆠,,,,,,,,
𧆡,,,xù,,,,,
𧆢,丩,丩,hǔ,,,,,
𧆣,凷,凷,lú,,,,,
𧆤,,,,,,,,
𧆥,,,xiá,,,,,
𧆦,乞,乞,yì,,,,,
𧆧,,,,,,,,
𧆨,0,𧆨,,,,,,
𧆩,,,,,,,,
𧆪,,,,,,,,
𧆫,,,,,,,,
𧆬,,,,,,,,
𧆭,,,,,,,,
𧆮,丩,丩,hǔ,,,,,
𧆯,,,hù,,,,,
𧆰,,,zǐ,,,,,
𧆱,夻,,,,,,,
𧆲,,,,,,,,
𧆳,丠,,,,,,,
𧆴,,,,,,,,
𧆵,,,,,,,,
𧆶,,,,,,,,
𧆷,公,公,gōng,,,,,
𧆸,,,tuī,,,,,
𧆹,,,wū,,,,,
𧆺,,,líng,,,,,
𧆻,,,gū,,,,,
𧆼,冬,冬,zhōng,,,,,
𧆽,,,,,,,,
𧆾,,,,,,,,
𧆿,,,,,,,,
𧇀,,,,,,,,
𧇁,,,,,,,,
𧇂,,,,,,,,
𧇃,,,,,,,,
𧇄,,,lú,,,,,
𧇅,,,,,,,,
𧇆,,,,,,,,
𧇇,,,,,,,,
𧇈,,,zù,,,,,
𧇉,,,,,,,,
𧇊,,,,,,,,
𧇋,,,,,,,,
𧇌,,,tóng,,,,,
𧇍,,,xiā,haa1,,,,
𧇎,,,hé,,,,,
𧇏,凷,凷,,,,,,
𧇐,,,,,,,,
𧇑,,,,,,,,
𧇒,,,,,,,,
𧇓,兑,㕣,yuè,,,,,
𧇔,,,,,,,,
𧇕,,,,,,,,
𧇖,,,,,,,,
𧇗,,,,,,,,
𧇘,,,,,,,,
𧇙,男,男,nán,,,,,
𧇚,伯,白,bó,,,,,
𧇛,,,hū,,,,,
𧇜,臤,臣,qì,,,,,
𧇝,叔,尗,shú,,,,,
𧇞,羌,羊,qiāng,,,,,
𧇟,,,zhōu,,,,,
𧇠,,,yào,,,,,
𧇡,處,虍,gū,,,,,
𧇢,,,,,,,,
𧇣,,,,,,,,
𧇤,,,,,,,,
𧇥,,,bān,,,,,
𧇦,,,kǎn,,,,,
𧇧,,,,,,,,
𧇨,,,,,,,,
𧇩,,,,,,,,
𧇪,,,,,,,,
𧇫,,,,,,,,
𧇬,臥,臥,,,,,,
𧇭,,,,,,,,
𧇮,和,禾,hé,,,,,
𧇯,季,季,jì,,,,,
𧇰,忽,勿,hú,,,,,
𧇱,咸,咸,yán,,,,,
𧇲,虗,丘,,,,,,
𧇳,,,,,,,,
𧇴,,,,,,,,
𧇵,,,,,,,,
𧇶,春,屯,chūn,,,,,
𧇷,,,dǐng,,,,,
𧇸,秋,秋,qiū,,,,,
𧇹,侯,侯,hóu,,,,,
𧇺,,,,,,,,
𧇻,,,,,,,,
𧇼,号,号,hào,,,,,
𧇽,,,,,,,,
𧇾,雐,虍,,,,,,
𧇿,,,zù,,,,,
𧈀,,,,,,,,
𧈁,,,xián,,,,,
𧈂,,,,,,,,
𧈃,,,,,,,,
𧈄,夏,夏,xià,,,,,
𧈅,,,xì,,,,,
𧈆,終,冬,,,,,,
𧈇,彬,林,,,,,,
𧈈,巢,巢,sè,,,,,
𧈉,䩗,,,,,,,
𧈊,,,,,,,,
𧈋,菟,兔,,,,,,
𧈌,,,gé,,,,,
𧈍,,,xì,,,,,
𧈎,,,,,,,,
𧈏,,,,,,,,
𧈐,,,,,,,,
𧈑,,,gé,,,,,
𧈒,,,,,,,,
𧈓,,,,,,,,
𧈔,魯,魚,lǚ,,,,,
𧈕,,,,,,,,
𧈖,,,gé,,,,,
𧈗,,,kè,,,,,
𧈘,,,,,,,,
𧈙,壽,壽,shòu,,,,,
𧈚,䖒,虍,zhù,,,,,
𧈛,虒,虒,,si1,,,,
𧈜,騰,关,téng,,,,,
𧈝,,,yà,,,,,
𧈞,,,nì,,,,,
𧈟,,,,,,,,
𧈠,,,,,,,,
𧈡,,,,,,,,
𧈢,,,,,,,,
𧈣,,,,,,,,nái
𧈤,,,,,,,,
𧈥,,,,,,,,
𧈦,,,luò,,,,,
𧈧,,,suī,,,,,
𧈨,,,,,,,,
𧈩,,,,,,,,
𧈪,,,chǎn,,,,,
𧈫,,,,,,,,
𧈬,,,,,,,,
𧈭,,,wù,,,,,
𧈮,,,,,,,,
𧈯,亐,亐,yū,,,,,
𧈰,,,,,,,,
𧈱,,,,,,,,
𧈲,,,,,,,,
𧈳,,,,,,,,
𧈴,,,,,,,,
𧈵,,,,,,,,
𧈶,,,,,,,,
𧈷,,,,,,,,
𧈸,,,,,,,,
𧈹,,,zǎo,,,,,
𧈺,,,,,,,,
𧈻,,,yì,,,,,
𧈼,,,xī,,,,,
𧈽,厷,厷,hóng,,,,,
𧈾,,,quán,,,,,
𧈿,冈,冂,wǎng,,,,,
𧉀,,,chǐ,,,,,
𧉁,,,xì,,,,,
𧉂,,,tiǎn,,,,,
𧉃,允,㠯,yǔn,,,,,
𧉄,,,,,,,,
𧉅,尹,尹,yī,,,,,
𧉆,,,jí,,,,,
𧉇,,,huī,,,,,
𧉈,,,fóu,,,,,
𧉉,,,,,,,,
𧉊,父,父,fǔ,,,,,
𧉋,,,,,,,,
𧉌,,,,,,,,
𧉍,尐,,jí,,,,,
𧉎,,,xuán,,,,,
𧉏,,,,,,,,
𧉐,,,,,,,,
𧉑,太,太,tài,,,,,
𧉒,扎,乙,,,,,,
𧉓,,,dù,,,,,
𧉔,,,,,,,,
𧉕,,,,,,,,
𧉖,,,,,,,,
𧉗,,,yuán,,,,,
𧉘,,,,,,,,
𧉙,屯,屯,,,,,,trùn
𧉚,,,,,,,,vắt
𧉛,,,dì,,,,,
𧉜,,,,,,,,
𧉝,丐,丐,,,,,,cáy
𧉞,宁,丁,zhǔ,,,,,
𧉟,,,tāi,,,,,
𧉠,,,,,,,,
𧉡,宂,宂,rǒng,,,,,
𧉢,,,xué,,,,,
𧉣,,,yù,,,,,
𧉤,弁,弁,fàn,,,,,
𧉥,,,běi,,,,,
𧉦,,,,,,,,
𧉧,,,qǔ,gip3 heoi2,,,,
𧉨,,,,,,,,
𧉩,布,父,bù,,,,,
𧉪,,,jiā,,,,,
𧉫,㘝,㘝,zhá,,,,,
𧉬,,,,,,,,
𧉭,奴,奴,nǔ,,,,,
𧉮,㐌,㐌,shé,,,,,
𧉯,,,,,,,,
𧉰,,,,,,,,
𧉱,,,,,,,,
𧉲,,,lì,,,,,
𧉳,,,,,,,,
𧉴,,,,,,,,
𧉵,,,,,,,,
𧉶,,,,,,,,
𧉷,,,,,,,,
𧉸,,,,,,,,
𧉹,札,乙,,,,,,
𧉺,,,,,,,,
𧉻,半,半,,,,,,bạng
𧉼,,,,,,,,
𧉽,,,,,,,,
𧉾,,,,,,,,
𧉿,,,,,,,,
𧊀,,,,gaa1,,,,
𧊁,,,,,,,,
𧊂,,,,,,,,
𧊃,処,処,,,,,,
𧊄,只,只,guǐ,,,,,
𧊅,另,另,guǎi,gwaai2,,,,
𧊆,,,,,,,,
𧊇,代,代,dài,,,,,
𧊈,,,,,,,,
𧊉,乏,乏,,,,,,bướm
𧊊,,,,,,,,nhộng
𧊋,,,,san1,,,,thằn
𧊌,巧,工,,,,,,chão
𧊍,,,,,,,,
𧊎,戉,戉,,,,,,vắt
𧊏,亥,亥,gāi,,,,,
𧊐,聿,聿,,,,,,trút
𧊑,,,,,,,,
𧊒,次,二,cì,,,,,
𧊓,,,,,,,,
𧊔,,,yǎn,,,,,
𧊕,戎,十,sōng,,,,,nhông
𧊖,式,弋,shì,,,,,
𧊗,,,,,,,,
𧊘,夸,于,kù,,,,,
𧊙,旨,匕,zhǐ,,,,,
𧊚,,,tóng,,,,,
𧊛,后,后,qú,,,,,
𧊜,屰,屰,è,,,,,
𧊝,,,,,,,,
𧊞,刑,干,xíng,,,,,
𧊟,如,女,rú,,,,,
𧊠,㬰,,yú,,,,,
𧊡,邛,,,,,,,
𧊢,,,,,,,,
𧊣,曳,丿,yì,,,,,
𧊤,亦,亦,yì,,,,,
𧊥,戍,戍,xù,,,,,
𧊦,,,fǒu,,,,,
𧊧,,,gé,,,,,
𧊨,,,,,,,,
𧊩,,,,,,,,
𧊪,,,,,,,,
𧊫,,,,,,,,
𧊬,,,hé,,,,,
𧊭,因,囗,yīn,,,,,
𧊮,,,,,,,,
𧊯,,,hòng,,,,,
𧊰,,,,,,,,
𧊱,朶,朶,duǒ,,,,,
𧊲,全,全,,cyun4,,,,
𧊳,,,,,,,,
𧊴,,,,,,,,
𧊵,夅,夅,,gong3,,,,
𧊶,朵,几,,doe3,,,,
𧊷,妄,亡,,,,,,
𧊸,,,,,,,,
𧊹,,,,,,,,
𧊺,,,,,,,,
𧊻,,,,,,,,
𧊼,,,,,,,,
𧊽,行,行,xíng,,,,,
