glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
㖡,夜,yè,e6 ze6,,,,
㖢,庛,qí,ci1,,,,
㖣,咅,tòu,bu4 tau3,,,,vòi
㖤,函,hán,haam4,,,,
㖥,囷,jùn,kwaan3 leon1 zeon1,,,,
㖦,東,dǒng,dung2,,,,
㖧,昏,hūn,faan1,,,,hôn
㖨,彖,lù,luk6,,,,
㖩,,jū,zaau1,,,,
㖪,,huò,gwok3,,,,
㖫,夌,líng,ling4,,,,lừng
㖬,,,,,,,
㖭,忝,tiǎn,tim1 tim2,,,,
㖮,侖,lún,leon4 leon4,,,,
㖯,,,,,,,
㖰,,,,,,,
㖱,,,,,,,
㖲,,,,,,,
㖳,汝,,,,,,
㖴,芴,,,,,,
㖵,具,gé,,,,,
㖶,垔,yān,zin1 zin3 zit3,,,,
㖷,,shí,taai4,,,,
㖸,虐,xué,koek6,,,,
㖹,盆,pēn,fu2 paan3 pun4,,,,vồn
㖺,春,chǔn,ceon2,,,,
㖻,柔,niú,zaau4,,,,
㖼,某,duǒ,mau4,,,,mỏ
㖽,,zé,zaak3,,,,hợt
㖾,屰,è,ngok6,,,,
㖿,耶,xié,ce4 ze4,,,,
㗀,幽,yōu,zaau1,,,,
㗁,咢,è,ngok6 zit6,,,,
㗂,省,shěng,saang2,,,,
㗃,昬,wěn,maan4 maan5,,,,
㗄,,kū,man4 man6 ming4,,,,
㗅,胡,hú,wu4,,,,
㗆,,gé,gaak3,,,,
㗇,叚,xiá,gaa5 haa4,,,,
㗈,勇,màn,maan6,,,,
㗉,㓞,lüè,loek6,,,,
㗊,,jí,leoi4 lo4,,,,
㗋,矦,hóu,hau4,,,,
㗌,室,zhì,zaat6,,,,
㗍,,,,,,,
㗎,架,,gaa2 gaa3 gaa4,,,,
㗏,歪,wāi,,,,,
㗐,,,,,,,
㗑,拜,bai,bai6,,,,bới
㗒,哀,ài,oi2,,,,
㗓,追,zhuī,ci3 zeoi1,,,,
㗔,虔,qiān,hin1,,,,
㗕,冓,gòu,gaau3 ngaau1,,,,
㗖,舀,dàn,daam6,,,,thào
㗗,,bēi,bai2 bei1,,,,
㗘,尃,bó,bok3 bok6,,,,
㗙,芻,chū,zaau1,,,,sò
㗚,栗,lì,lei6 leot6,,,,trắt
㗛,笑,xiào,siu3,,,,
㗜,畜,xiù,cau3,,,,súc
㗝,羔,,gou1,,,,
㗞,破,,,,,,
㗟,注,,,,,,
㗠,始,,,,,,
㗡,,,,,,,
㗢,動,hóng,hung1,,,,rống
㗣,帶,tì,daai3 taai3,,,,
㗤,戚,cù,cuk1,,,,
㗥,郭,kuò,kwok3,,,,
㗦,聊,láo,lou4,,,,
㗧,窒,zhì,zaat6,,,,
㗨,殹,xiē,aai2 hai6,,,,
㗩,習,xī,ci1,,,,
㗪,紫,,,,,,
㗫,祭,qiè,caai3 cam1 saam6,,,,
㗬,,zhā,zaa1,,,,
㗭,悉,xī,hei1,,,,
㗮,,,,,,,
㗯,,,,,,,
㗰,從,cóng,cung4 saai3,,,,
㗱,集,jí,zap6,,,,
㗲,畫,huò,waak1 waak6 wok6,,,,
㗳,答,tǎ,dap1 tap3,,,,
㗴,間,yán,zin4,,,,nhằn
㗵,,xù,fat1,,,,
㗶,發,pō,put3,,,,
㗷,,sǎi,coi3,,,,
㗸,,,,,,,
㗹,,,,,,,
㗺,䨿,,,,,,
㗻,過,guō,go6 gwo1 gwo3,,,,
㗼,業,yè,zip6,,,,
㗽,鄉,xiǎng,hoeng1 hoeng2,,,,
㗾,靴,xuē,heoi1,,,,
㗿,閜,hé,laa4,,,하,
㘀,䊆,zuò,zok3,,,,
㘁,睪,yì,zik6,,,,
㘂,慈,cí,ci4,,,,
㘃,惹,,,,,,
㘄,楞,lēng,,,,,
㘅,銜,xián,haam4,,,,
㘆,臺,tǎi,toi4,,,,
㘇,榮,róng,wing4 zing2,,,,vang
㘈,疑,yì,zi4,,,,
㘉,節,zhì,zit1 zit3,,,,
㘊,,xī,caau3 kaap1 zaau2 zuk1,,,,
㘋,賢,xián,zin4,,,,hờn
㘌,劇,jù,kek6,,,,
㘍,,jí,zik1,,,,
㘎,阚,hǎn,ham3,,,,
㘏,,,,,,,
㘐,駮,pào,cit3 pau3,,,,
㘑,隷,lì,lai6,,,,
㘒,種,,,,,,
㘓,闌,lán,laan4,,,,ran
㘔,賽,sǎi,coi3,,,,
㘕,藍,hǎn,ham3 lam4,,,,
㘖,顔,yán,ngan4,,,,
㘗,瞿,qū,,,,,
㘘,䜌,,lyun2,,,,
㘙,嚴,yán,gau1 gau2 hau6 ngam4,,,,
㘚,闞,hǎn,gam1 ham3,,,,
㘛,,kān,haam1 lim5,,,,
㘜,讎,chǐ,caau1 caau4,,,,
㘝,0,niè,nim2 nip6 zik1,,,,
㘞,,huò,deot1,,,,
㘟,,,,,,,
㘠,,bì,baai3 dai1,,,,
㘡,,xiá,haap6,,,,
㘢,,wěng,,,,,
㘣,肙,xuán,zyun4,,,,
㘤,淵,wān,waan1,,,,
㘥,繇,yóu,zaau4,,,,
㘦,,qín,kan4,,,,
㘧,予,xù,zeoi6,,,,
㘨,内,niè,nip6,,,,nồi
㘩,,bì,bei6,,,,
㘪,,hào,hou3 kaau3,,,,
㘫,,jǐng,zing6,,,,
㘬,勾,ào,au1,,,,
㘭,幻,ào,au1 au3,,,,
㘮,,,,,,,
㘯,,,,,,,
㘰,,zhēn,zam1,,,,
㘱,冉,tān,taan1,,,,
㘲,尻,jú,guk1,,,,
㘳,,,zaau1,,,,
㘴,,zuò,zo6,,,,
㘵,布,bù,bou3,,,,
㘶,,jié,git6 miu5,,,,
㘷,艾,ài,ngai6,,,,
㘸,,zàng,zong3,,,,
㘹,,cí,ci4,,,,
㘺,伐,fá,fat6,,,,
㘻,因,,zaan1,,,,
㘼,,,,,,,
㘽,,,,,,,
㘾,宇,,jyu5,,,,
㘿,圼,niè,nip6,,,,
㙀,究,liù,lau6,,,,
㙁,,méi,muk6,,,,
㙂,兑,duì,deoi3,,,,
㙃,兵,bāng,bong1,,,,
㙄,坒,bì,bai6,,,,
㙅,呆,bǎo,bou2,,,,
㙆,,,,,,,
㙇,豖,chù,cuk1,,,,
㙈,,xià,laa4,,,,
㙉,典,tiǎn,din6 tin2,,,,
㙊,長,cháng,coeng4,,,,
